央视频道,#genre#
CCTV1,http://localhost:8001/iptv.php?id=cctv1
CCTV2,http://localhost:8001/iptv.php?id=cctv2
CCTV3,http://localhost:8001/iptv.php?id=cctv3
CCTV4,http://localhost:8001/iptv.php?id=cctv4
CCTV5,http://localhost:8001/iptv.php?id=cctv5
CCTV5+,http://localhost:8001/iptv.php?id=cctv5p
CCTV6,http://localhost:8001/iptv.php?id=cctv6
CCTV7,http://localhost:8001/iptv.php?id=cctv7
CCTV8,http://localhost:8001/iptv.php?id=cctv8
CCTV9,http://localhost:8001/iptv.php?id=cctv9
CCTV10,http://localhost:8001/iptv.php?id=cctv10
CCTV11,http://localhost:8001/iptv.php?id=cctv11
CCTV12,http://localhost:8001/iptv.php?id=cctv12
CCTV13,http://localhost:8001/iptv.php?id=cctv13
CCTV14,http://localhost:8001/iptv.php?id=cctvse
CCTV15,http://localhost:8001/iptv.php?id=cctv15
CCTV16,http://localhost:8001/iptv.php?id=cctv16
CCTV17,http://localhost:8001/iptv.php?id=cctv17
CCTV4K,http://localhost:8001/iptv.php?id=cctv4k
CCTV8K,http://localhost:8001/iptv.php?id=cctv8k

卫视频道,#genre#
北京卫视,http://localhost:8001/iptv.php?id=bjws
东方卫视,http://localhost:8001/iptv.php?id=dfws
重庆卫视,http://localhost:8001/iptv.php?id=cqws
黑龙江卫视,http://localhost:8001/iptv.php?id=hljws
辽宁卫视,http://localhost:8001/iptv.php?id=lnws
河北卫视,http://localhost:8001/iptv.php?id=hbws
山东卫视,http://localhost:8001/iptv.php?id=sdws
安徽卫视,http://localhost:8001/iptv.php?id=ahws
河南卫视,http://localhost:8001/iptv.php?id=hnws
湖北卫视,http://localhost:8001/iptv.php?id=hubws
湖南卫视,http://localhost:8001/iptv.php?id=hunws
江西卫视,http://localhost:8001/iptv.php?id=jxws
江苏卫视,http://localhost:8001/iptv.php?id=jsws
浙江卫视,http://localhost:8001/iptv.php?id=zjws
东南卫视,http://localhost:8001/iptv.php?id=dnws
广东卫视,http://localhost:8001/iptv.php?id=gdws
深圳卫视,http://localhost:8001/iptv.php?id=szws
广西卫视,http://localhost:8001/iptv.php?id=gxws
贵州卫视,http://localhost:8001/iptv.php?id=gzws
四川卫视,http://localhost:8001/iptv.php?id=scws
海南卫视,http://localhost:8001/iptv.php?id=hinws

央视数字,#genre#
CCTV兵器科技(vip),http://localhost:8001/iptv.php?id=bqkj
CCTV第一剧场(vip),http://localhost:8001/iptv.php?id=dyjc
CCTV怀旧剧场(vip),http://localhost:8001/iptv.php?id=hjjc
CCTV风云剧场(vip),http://localhost:8001/iptv.php?id=fyjc
CCTV风云音乐(vip),http://localhost:8001/iptv.php?id=fyyy
CCTV风云足球(vip),http://localhost:8001/iptv.php?id=fyzq
CCTV电视指南(vip),http://localhost:8001/iptv.php?id=dszn
CCTV女性时尚(vip),http://localhost:8001/iptv.php?id=nxss
CCTV央视文化精品(vip),http://localhost:8001/iptv.php?id=whjp
CCTV世界地理(vip),http://localhost:8001/iptv.php?id=sjdl
CCTV高尔夫网球(vip),http://localhost:8001/iptv.php?id=gefwq
CCTV央视台球(vip),http://localhost:8001/iptv.php?id=ystq
CCTV卫生健康(vip),http://localhost:8001/iptv.php?id=wsjk

国际频道,#genre#
CGTN,http://localhost:8001/iptv.php?id=cgtn
CGTN纪录,http://localhost:8001/iptv.php?id=cgtnjl
CGTN西语,http://localhost:8001/iptv.php?id=cgtne
CGTN法语,http://localhost:8001/iptv.php?id=cgtnf
CGTN阿语,http://localhost:8001/iptv.php?id=cgtna
CGTN俄语,http://localhost:8001/iptv.php?id=cgtnr

TVB频道,#genre#  
無線新聞台1080P,http://localhost:8001/tvb.php?id=0&hq
無線新聞台720P,http://localhost:8001/tvb.php?id=0
無線新聞台360P,http://localhost:8001/tvb.php?id=1
無線財經·體育·資訊台1080P,http://localhost:8001/tvb.php?id=2&hq
無線財經·體育·資訊台720P,http://localhost:8001/tvb.php?id=2
無線財經·體育·資訊台360P,http://localhost:8001/tvb.php?id=3
事件直播頻道1 1080P（全清晰度）,http://localhost:8001/tvb.php?id=4&hq
事件直播頻道1 720P,http://localhost:8001/tvb.php?id=4
事件直播頻道1 576P,http://localhost:8001/tvb.php?id=5
事件直播頻道2 1080P（全清晰度）,http://localhost:8001/tvb.php?id=6&hq
事件直播頻道2 720P,http://localhost:8001/tvb.php?id=6
事件直播頻道2 576P,http://localhost:8001/tvb.php?id=7


Mgtv频道,#genre#
经视,http://localhost:8001/mgtv.php?id=hnjs
娱乐,http://localhost:8001/mgtv.php?id=hnyl
电影,http://localhost:8001/mgtv.php?id=hndy
都市,http://localhost:8001/mgtv.php?id=hnds
电视剧,http://localhost:8001/mgtv.php?id=hndsj
公共,http://localhost:8001/mgtv.php?id=hngg
国际,http://localhost:8001/mgtv.php?id=hngj
kl购,http://localhost:8001/mgtv.php?id=klg
